FRANJA,PU_BOROUGH,AVG_SPEED
06-09,Bronx,14.344624103438981
06-09,Brooklyn,13.262080847196895
06-09,EWR,20.614361475082543
06-09,Manhattan,11.478657250701023
06-09,N/A,14.726767436457777
06-09,Queens,18.370329902600055
06-09,Staten Island,20.66421929824574
06-09,Unknown,12.000500001896006
17-20,Bronx,12.922763129382465
17-20,Brooklyn,11.313398728842788
17-20,EWR,21.04472271935498
17-20,Manhattan,10.03441917796302
17-20,N/A,15.050179837019414
17-20,Queens,18.757756476610183
17-20,Staten Island,21.471353758391242
17-20,Unknown,10.922471757074764
