PASSENGER_COUNT,TRIPS,AVG_TICKET,P50_TICKET
0.0,5672274,19.46213261912242,14.88002444365517
1.0,601775058,17.97277842570537,13.544970815576528
2.0,116611173,19.31560206962329,13.946218809753233
3.0,32358139,18.762447975453718,13.72981654457264
4.0,15598794,19.490834885696934,14.100655391625285
5.0,33383290,17.010258517659587,12.799999999999951
6.0,20524525,16.854926200240932,12.696123751900394
7.0,1707,49.826602226127704,57.3425
8.0,1839,56.46704187058184,80.0
9.0,981,72.44595310907238,93.3
32.0,1,60.35,60.35
48.0,1,40.3,40.3
96.0,2,12.59,12.59
112.0,1,14.76,14.76
192.0,2,9.149999999999999,9.149999999999999
,17465114,26.79873114598622,23.49852023963481
